id,title,price,image,description
1,"Klenzo Deterjen Laundry Non Parfum Haji dan Umroh 5 Liter",60000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/4/12/1244efbe-e4e2-4cca-9bc0-a45982695d08.jpg","Klenzo Deterjen Laundry Non Parfum hadir sebagai sabun cair khusus yang dirancang untuk kebutuhan ibadah dengan formula yang sederhana, efektif dan sesuai dengan aturan syariat"
2,"Alkholisi Plain Detergent Sabun Haji dan Umroh 250 ml",6000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/3/16/795831af-4242-4603-a51f-568ce3a9a630.jpg","Salah satu produk yang dirancang khusus untuk mendukung kebutuhan ini adalah Alkholisi Plain Detergent sabun cair yang aman dan praktis untuk mencuci pakaian selama perjalanan ibadah."
3,"250 gr Klenzo Eco Enzyme Pupuk Organik & Pembersih",6000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/13/01a93f21-4b07-4429-a496-151c9e3a76f0.jpg","Eco enzyme adalah cairan serbaguna yang dihasilkan dari fermentasi bahan-bahan organik seperti buah-buahan, sayuran, gula, dan air."
4,"Pelembut Pakaian Softener Laundry Sokaraja 5 Liter",75000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/13/8c386fce-c048-4fb0-adc4-e4f00748e689.jpg","Dalam dunia pencucian pakaian softener atau pelembut pakaian memegang peranan penting untuk menghasilkan pakaian yang lembut wangi dan nyaman saat digunakan."
5,"Alkholisi Deterjen Bubuk 500 gr Tanpa Aroma",8000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/3/1/548efa4d-f839-4d58-b84d-cc4dd656dfa6.jpg","Deterjen ini dirancang khusus tanpa pewangi tambahan menjadikannya pilihan ideal bagi jemaah haji dan umroh yang membutuhkan kebersihan maksimal tanpa mengganggu kekhusyukan ibadah."
6,"Deterjen Bubuk Sabun Laundry Sokaraja 500 gr",6000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/10/aa110d74-8110-47db-888b-b3a56a43362f.jpg","Untuk mendapatkan hasil cucian yang bersih dan wangi, Anda membutuhkan sabun laundry yang berkualitas."
7,"Bibit Parfum Jeruk Nipis Sabun Cuci Piring",275000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/7/870f1c38-edb9-4f4e-a906-33f62fae80af.jpg","Bibit parfum jeruk nipis /lime dapat menjadi salah satu alternatif untuk menambahkan aroma segar dan menyegarkan pada sabun cuci piring."
8,"Parfum Body Sugar Daddy 30 ml",14500,"https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/4/68219dcf-aa70-4e14-8584-b1463c861a47.jpg","Salah satu parfum yang sedang populer saat ini adalah Sugar Daddy. Parfum ini memiliki sensasi wangi manis yang cocok untuk digunakan dalam berbagai aktivitas, baik outdoor maupun indoor."
9,"Sokaraja Deterjen Laundry 1 liter",14500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/12/25/611842f8-6ad5-406b-8fcb-7de6ed8ac4a6.jpg.webp?ect=4g","Salah satu produk deterjen yang dapat menjadi solusi adalah Sokaraja Deterjen Laundry. Sokaraja Deterjen Laundry adalah sabun cair serbaguna yang dikhususkan untuk memenuhi kebutuhan mencuci pakaian."
10,"Klenzo Sabun Cair Serbaguna Eco Enzyme",24500,"https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/25/9a1c90b6-13cc-436e-99b4-04d3736523f3.jpg","Klenzo Sabun Eco Enzyme adalah sabun cair serbaguna yang terbuat dari bahan-bahan alami dan eco enzyme."
11,"Klenzo Eco Enzyme Penyubur Tanaman",27500,"https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/25/a079c51a-6324-43bc-af62-26478e370b34.jpg","Klenzo Eco Enzyme adalah produk cairan biang yang terbuat dari bahan-bahan alami dan ramah lingkungan."
12,"Parfum Body Chibi Enok Botol Kaca Spray 30 ml",14500,"https://images.tokopedia.net/img/cache/900/VqbcmM/2024/12/7/95ae6ff1-a68c-44e3-ae97-e733cf5bff15.jpg","Parfum Chibi Enok adalah pilihan yang sempurna bagi Anda yang mencari wangi feminim dan manis yang cocok untuk berbagai aktivitas, baik indoor maupun outdoor."
13,"Semir Ban Mobil dan Motor 1 liter",30000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/28/7980599c-9fc2-4820-a6b3-43aa0f127cf5.jpg.webp?ect=4g","Salah satu cara untuk mencapai tampilan yang maksimal adalah dengan menggunakan semir ban yang berkualitas."
14,"Sabun Deterjen Laundry Cair Busa Sedang 600 ml",6500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/6/b763ac54-5f5a-4c24-b10c-e38d73a1ca49.jpg.webp?ect=4g","Sabun deterjen laundry cair dengan busa sedang menawarkan berbagai keunggulan bagi para pengguna."
15,"Softener Pelembut Parfum Laundry Wangi 5 Liter",45000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/26/2ab5a439-5409-4046-99ea-15fb66b79210.jpg.webp?ect=4g","Produk ini hadir dalam berbagai varian aroma yang menarik."
16,"Softener Pelembut Pakaian Parfum Laundry 1 L",13500,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/26/39aec02b-cf3c-4793-8cb6-d3f1156cc0c6.jpg.webp?ect=4g","Setelah proses pencucian, tentunya kita ingin pakaian kita tidak hanya bersih, tetapi juga lembut dan wangi."
17,"Karbol Serai Sereh Putih Susu Kental 1 Liter",16000,"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/10/21/3cd3a286-3889-4fe9-b6fa-55b004f64e3c.jpg.webp?ect=4g","Karbol sereh, atau yang lebih dikenal dengan serai putih susu kental, adalah cairan pembersih alami."
